Sample in Buffer,Sample in Window,TRIGGER,MyRtl_i/filter_sg_0_audio_ce,MyRtl_i/filter_sg_0_audio_out[19:0]
300,300,0,1,115
301,301,0,1,106
302,302,0,1,102
303,303,0,1,86
304,304,0,1,77
305,305,0,1,67
306,306,0,1,52
307,307,0,1,40
308,308,0,1,24
309,309,0,1,11
310,310,0,1,-5
311,311,0,1,-16
312,312,0,1,-29
313,313,0,1,-45
314,314,0,1,-52
315,315,0,1,-73
316,316,0,1,-83
317,317,0,1,-93
318,318,0,1,-97
319,319,0,1,-104
320,320,0,1,-112
321,321,0,1,-120
322,322,0,1,-119
323,323,0,1,-121
324,324,0,1,-128
325,325,0,1,-128
326,326,0,1,-129
327,327,0,1,-136
328,328,0,1,-139
329,329,0,1,-137
330,330,0,1,-139
331,331,0,1,-146
332,332,0,1,-143
333,333,0,1,-140
334,334,0,1,-133
335,335,0,1,-126
336,336,0,1,-121
337,337,0,1,-114
338,338,0,1,-103
339,339,0,1,-92
340,340,0,1,-84
341,341,0,1,-82
342,342,0,1,-70
343,343,0,1,-62
344,344,0,1,-55
345,345,0,1,-50
346,346,0,1,-38
347,347,0,1,-30
348,348,0,1,-20
349,349,0,1,-9
350,350,0,1,-4
351,351,0,1,4
352,352,0,1,15
353,353,0,1,17
354,354,0,1,21
355,355,0,1,28
356,356,0,1,36
357,357,0,1,41
358,358,0,1,46
359,359,0,1,47
360,360,0,1,49
361,361,0,1,55
362,362,0,1,51
363,363,0,1,54
364,364,0,1,52
365,365,0,1,57
366,366,0,1,59
367,367,0,1,62
368,368,0,1,62
369,369,0,1,67
370,370,0,1,71
371,371,0,1,78
372,372,0,1,87
373,373,0,1,98
374,374,0,1,100
375,375,0,1,106
376,376,0,1,113
377,377,0,1,116
378,378,0,1,118
379,379,0,1,119
380,380,0,1,122
381,381,0,1,124
382,382,0,1,125
383,383,0,1,126
384,384,0,1,127
385,385,0,1,127
386,386,0,1,122
387,387,0,1,120
388,388,0,1,110
389,389,0,1,105
390,390,0,1,93
391,391,0,1,85
392,392,0,1,74
393,393,0,1,67
394,394,0,1,58
395,395,0,1,38
396,396,0,1,28
397,397,0,1,14
398,398,0,1,5
399,399,0,1,-12
400,400,0,1,-28
401,401,0,1,-46
402,402,0,1,-54
403,403,0,1,-65
404,404,0,1,-76
405,405,0,1,-92
406,406,0,1,-104
407,407,0,1,-109
408,408,0,1,-113
409,409,0,1,-117
410,410,0,1,-128
411,411,0,1,-132
412,412,0,1,-132
413,413,0,1,-134
414,414,0,1,-137
415,415,0,1,-139
416,416,0,1,-142
417,417,0,1,-147
418,418,0,1,-149
419,419,0,1,-145
420,420,0,1,-150
421,421,0,1,-147
422,422,0,1,-143
423,423,0,1,-139
424,424,0,1,-130
425,425,0,1,-117
426,426,0,1,-109
427,427,0,1,-101
428,428,0,1,-95
429,429,0,1,-84
430,430,0,1,-74
431,431,0,1,-69
432,432,0,1,-57
433,433,0,1,-50
434,434,0,1,-42
435,435,0,1,-30
436,436,0,1,-26
437,437,0,1,-14
438,438,0,1,-8
439,439,0,1,5
440,440,0,1,10
441,441,0,1,14
442,442,0,1,23
443,443,0,1,27
444,444,0,1,32
445,445,0,1,39
446,446,0,1,48
447,447,0,1,48
448,448,0,1,59
449,449,0,1,60
450,450,0,1,59
451,451,0,1,62
452,452,0,1,63
453,453,0,1,60
454,454,0,1,64
455,455,0,1,67
456,456,0,1,67
457,457,0,1,70
458,458,0,1,74
459,459,0,1,81
460,460,0,1,91
461,461,0,1,98
462,462,0,1,103
463,463,0,1,112
464,464,0,1,116
465,465,0,1,123
466,466,0,1,126
467,467,0,1,133
468,468,0,1,129
469,469,0,1,131
470,470,0,1,133
471,471,0,1,137
472,472,0,1,139
473,473,0,1,135
474,474,0,1,139
475,475,0,1,136
476,476,0,1,128
477,477,0,1,124
478,478,0,1,113
479,479,0,1,105
480,480,0,1,92
481,481,0,1,81
482,482,0,1,72
483,483,0,1,58
484,484,0,1,48
485,485,0,1,31
486,486,0,1,17
487,487,0,1,10
488,488,0,1,-8
489,489,0,1,-19
490,490,0,1,-36
491,491,0,1,-49
492,492,0,1,-59
493,493,0,1,-72
494,494,0,1,-89
495,495,0,1,-99
496,496,0,1,-105
497,497,0,1,-111
498,498,0,1,-115
499,499,0,1,-120
500,500,0,1,-124
501,501,0,1,-128
502,502,0,1,-132
503,503,0,1,-133
504,504,0,1,-138
505,505,0,1,-141
506,506,0,1,-145
507,507,0,1,-143
508,508,0,1,-140
509,509,0,1,-144
510,510,0,1,-143
511,511,0,1,-136
512,512,0,1,-134
513,513,0,1,-129
514,514,0,1,-114
515,515,0,1,-109
516,516,0,1,-101
517,517,0,1,-96
518,518,0,1,-85
519,519,0,1,-76
520,520,0,1,-72
521,521,0,1,-62
522,522,0,1,-54
523,523,0,1,-47
524,524,0,1,-42
525,525,0,1,-31
526,526,0,1,-22
527,527,0,1,-15
528,528,0,1,-1
529,529,0,1,4
530,530,0,1,14
531,531,0,1,17
532,532,0,1,23
533,533,0,1,30
534,534,0,1,29
535,535,0,1,34
536,536,0,1,43
537,537,0,1,48
538,538,0,1,49
539,539,0,1,51
540,540,0,1,51
