Sample in Buffer,Sample in Window,TRIGGER,MyRtl_i/filter_sg_0_audio_ce,MyRtl_i/filter_sg_0_audio_out[19:0]
3644,3644,0,1,51
3645,3645,0,1,55
3646,3646,0,1,57
3647,3647,0,1,60
3648,3648,0,1,60
3649,3649,0,1,58
3650,3650,0,1,58
3651,3651,0,1,63
3652,3652,0,1,63
3653,3653,0,1,63
3654,3654,0,1,68
3655,3655,0,1,79
3656,3656,0,1,86
3657,3657,0,1,89
3658,3658,0,1,99
3659,3659,0,1,108
3660,3660,0,1,110
3661,3661,0,1,114
3662,3662,0,1,121
3663,3663,0,1,122
3664,3664,0,1,127
3665,3665,0,1,126
3666,3666,0,1,131
3667,3667,0,1,133
3668,3668,0,1,133
3669,3669,0,1,134
3670,3670,0,1,136
3671,3671,0,1,129
3672,3672,0,1,127
3673,3673,0,1,117
3674,3674,0,1,109
3675,3675,0,1,99
3676,3676,0,1,89
3677,3677,0,1,82
3678,3678,0,1,64
3679,3679,0,1,52
3680,3680,0,1,43
3681,3681,0,1,30
3682,3682,0,1,14
3683,3683,0,1,5
3684,3684,0,1,-14
3685,3685,0,1,-27
3686,3686,0,1,-40
3687,3687,0,1,-54
3688,3688,0,1,-67
3689,3689,0,1,-82
3690,3690,0,1,-94
3691,3691,0,1,-101
3692,3692,0,1,-105
3693,3693,0,1,-112
3694,3694,0,1,-120
3695,3695,0,1,-123
3696,3696,0,1,-127
3697,3697,0,1,-136
3698,3698,0,1,-133
3699,3699,0,1,-141
3700,3700,0,1,-143
3701,3701,0,1,-143
3702,3702,0,1,-148
3703,3703,0,1,-145
3704,3704,0,1,-146
3705,3705,0,1,-147
3706,3706,0,1,-148
3707,3707,0,1,-145
3708,3708,0,1,-133
3709,3709,0,1,-131
3710,3710,0,1,-123
3711,3711,0,1,-111
3712,3712,0,1,-102
3713,3713,0,1,-90
3714,3714,0,1,-82
3715,3715,0,1,-73
3716,3716,0,1,-72
3717,3717,0,1,-64
3718,3718,0,1,-52
3719,3719,0,1,-41
3720,3720,0,1,-38
3721,3721,0,1,-28
3722,3722,0,1,-20
3723,3723,0,1,-8
3724,3724,0,1,0
3725,3725,0,1,9
3726,3726,0,1,16
3727,3727,0,1,15
3728,3728,0,1,27
3729,3729,0,1,33
3730,3730,0,1,32
3731,3731,0,1,36
3732,3732,0,1,41
3733,3733,0,1,49
3734,3734,0,1,52
3735,3735,0,1,56
3736,3736,0,1,54
3737,3737,0,1,54
3738,3738,0,1,57
3739,3739,0,1,58
3740,3740,0,1,58
3741,3741,0,1,64
3742,3742,0,1,66
3743,3743,0,1,71
3744,3744,0,1,79
3745,3745,0,1,84
3746,3746,0,1,91
3747,3747,0,1,98
3748,3748,0,1,102
3749,3749,0,1,111
3750,3750,0,1,116
3751,3751,0,1,119
3752,3752,0,1,121
3753,3753,0,1,127
3754,3754,0,1,129
3755,3755,0,1,131
3756,3756,0,1,131
3757,3757,0,1,129
3758,3758,0,1,131
3759,3759,0,1,131
3760,3760,0,1,129
3761,3761,0,1,123
3762,3762,0,1,113
3763,3763,0,1,111
3764,3764,0,1,103
3765,3765,0,1,87
3766,3766,0,1,79
3767,3767,0,1,66
3768,3768,0,1,56
3769,3769,0,1,44
3770,3770,0,1,29
3771,3771,0,1,16
3772,3772,0,1,3
3773,3773,0,1,-13
3774,3774,0,1,-26
3775,3775,0,1,-40
3776,3776,0,1,-54
3777,3777,0,1,-65
3778,3778,0,1,-78
3779,3779,0,1,-83
3780,3780,0,1,-97
3781,3781,0,1,-102
3782,3782,0,1,-110
3783,3783,0,1,-111
3784,3784,0,1,-115
3785,3785,0,1,-121
3786,3786,0,1,-123
3787,3787,0,1,-129
3788,3788,0,1,-129
3789,3789,0,1,-133
3790,3790,0,1,-136
3791,3791,0,1,-141
3792,3792,0,1,-142
3793,3793,0,1,-141
3794,3794,0,1,-140
3795,3795,0,1,-138
3796,3796,0,1,-131
3797,3797,0,1,-131
3798,3798,0,1,-122
3799,3799,0,1,-117
3800,3800,0,1,-103
3801,3801,0,1,-94
3802,3802,0,1,-92
3803,3803,0,1,-76
3804,3804,0,1,-71
3805,3805,0,1,-61
3806,3806,0,1,-53
3807,3807,0,1,-52
3808,3808,0,1,-39
3809,3809,0,1,-31
3810,3810,0,1,-23
3811,3811,0,1,-17
3812,3812,0,1,-6
3813,3813,0,1,2
3814,3814,0,1,8
3815,3815,0,1,15
3816,3816,0,1,20
3817,3817,0,1,27
3818,3818,0,1,32
3819,3819,0,1,40
3820,3820,0,1,45
3821,3821,0,1,44
3822,3822,0,1,52
3823,3823,0,1,55
3824,3824,0,1,58
3825,3825,0,1,55
3826,3826,0,1,61
3827,3827,0,1,63
3828,3828,0,1,62
3829,3829,0,1,67
3830,3830,0,1,67
3831,3831,0,1,70
3832,3832,0,1,76
3833,3833,0,1,83
3834,3834,0,1,93
3835,3835,0,1,96
3836,3836,0,1,106
3837,3837,0,1,110
3838,3838,0,1,111
3839,3839,0,1,114
3840,3840,0,1,120
3841,3841,0,1,122
3842,3842,0,1,129
3843,3843,0,1,126
3844,3844,0,1,130
3845,3845,0,1,128
3846,3846,0,1,129
3847,3847,0,1,128
3848,3848,0,1,129
3849,3849,0,1,127
3850,3850,0,1,119
3851,3851,0,1,112
3852,3852,0,1,107
3853,3853,0,1,90
3854,3854,0,1,83
3855,3855,0,1,72
3856,3856,0,1,58
3857,3857,0,1,52
3858,3858,0,1,40
3859,3859,0,1,24
3860,3860,0,1,9
3861,3861,0,1,1
3862,3862,0,1,-17
3863,3863,0,1,-31
3864,3864,0,1,-45
3865,3865,0,1,-57
3866,3866,0,1,-68
3867,3867,0,1,-83
3868,3868,0,1,-95
3869,3869,0,1,-101
3870,3870,0,1,-106
3871,3871,0,1,-114
3872,3872,0,1,-121
3873,3873,0,1,-120
3874,3874,0,1,-127
3875,3875,0,1,-132
3876,3876,0,1,-134
3877,3877,0,1,-134
3878,3878,0,1,-137
3879,3879,0,1,-143
3880,3880,0,1,-145
3881,3881,0,1,-140
3882,3882,0,1,-143
3883,3883,0,1,-139
3884,3884,0,1,-141
3885,3885,0,1,-138
3886,3886,0,1,-135
3887,3887,0,1,-127
3888,3888,0,1,-119
3889,3889,0,1,-106
3890,3890,0,1,-100
3891,3891,0,1,-93
3892,3892,0,1,-82
3893,3893,0,1,-73
3894,3894,0,1,-65
3895,3895,0,1,-57
3896,3896,0,1,-46
3897,3897,0,1,-37
3898,3898,0,1,-32
3899,3899,0,1,-26
3900,3900,0,1,-13
3901,3901,0,1,-7
3902,3902,0,1,7
3903,3903,0,1,10
3904,3904,0,1,24
3905,3905,0,1,23
3906,3906,0,1,32
3907,3907,0,1,37
3908,3908,0,1,41
3909,3909,0,1,47
3910,3910,0,1,56
3911,3911,0,1,56
3912,3912,0,1,55
3913,3913,0,1,59
3914,3914,0,1,60
3915,3915,0,1,60
3916,3916,0,1,63
3917,3917,0,1,61
3918,3918,0,1,65
3919,3919,0,1,73
3920,3920,0,1,74
3921,3921,0,1,80
3922,3922,0,1,86
3923,3923,0,1,92
3924,3924,0,1,99
3925,3925,0,1,102
3926,3926,0,1,111
3927,3927,0,1,112
3928,3928,0,1,119
3929,3929,0,1,123
3930,3930,0,1,126
3931,3931,0,1,128
3932,3932,0,1,128
3933,3933,0,1,131
3934,3934,0,1,135
3935,3935,0,1,134
3936,3936,0,1,133
3937,3937,0,1,130
3938,3938,0,1,126
3939,3939,0,1,118
3940,3940,0,1,112
3941,3941,0,1,104
3942,3942,0,1,98
3943,3943,0,1,85
3944,3944,0,1,70
3945,3945,0,1,61
3946,3946,0,1,46
3947,3947,0,1,37
3948,3948,0,1,24
3949,3949,0,1,6
3950,3950,0,1,-5
3951,3951,0,1,-22
3952,3952,0,1,-36
3953,3953,0,1,-46
3954,3954,0,1,-54
3955,3955,0,1,-66
3956,3956,0,1,-81
3957,3957,0,1,-88
3958,3958,0,1,-103
3959,3959,0,1,-108
3960,3960,0,1,-116
3961,3961,0,1,-114
3962,3962,0,1,-119
3963,3963,0,1,-125
3964,3964,0,1,-127
3965,3965,0,1,-127
3966,3966,0,1,-130
3967,3967,0,1,-136
3968,3968,0,1,-136
3969,3969,0,1,-140
3970,3970,0,1,-139
3971,3971,0,1,-140
3972,3972,0,1,-136
3973,3973,0,1,-138
3974,3974,0,1,-131
3975,3975,0,1,-122
3976,3976,0,1,-118
3977,3977,0,1,-110
3978,3978,0,1,-98
3979,3979,0,1,-91
3980,3980,0,1,-85
3981,3981,0,1,-75
3982,3982,0,1,-69
3983,3983,0,1,-61
3984,3984,0,1,-50
3985,3985,0,1,-46
3986,3986,0,1,-37
3987,3987,0,1,-29
3988,3988,0,1,-19
3989,3989,0,1,-15
3990,3990,0,1,-4
3991,3991,0,1,7
3992,3992,0,1,15
3993,3993,0,1,18
3994,3994,0,1,27
3995,3995,0,1,26
3996,3996,0,1,33
3997,3997,0,1,37
3998,3998,0,1,40
3999,3999,0,1,51
4000,4000,0,1,53
4001,4001,0,1,58
4002,4002,0,1,56
4003,4003,0,1,56
4004,4004,0,1,53
4005,4005,0,1,58
4006,4006,0,1,59
4007,4007,0,1,64
4008,4008,0,1,68
4009,4009,0,1,72
4010,4010,0,1,74
4011,4011,0,1,87
4012,4012,0,1,88
4013,4013,0,1,100
4014,4014,0,1,103
4015,4015,0,1,111
4016,4016,0,1,115
4017,4017,0,1,113
4018,4018,0,1,123
4019,4019,0,1,127
4020,4020,0,1,126
4021,4021,0,1,129
4022,4022,0,1,123
4023,4023,0,1,124
4024,4024,0,1,125
4025,4025,0,1,126
4026,4026,0,1,127
4027,4027,0,1,122
4028,4028,0,1,114
4029,4029,0,1,104
4030,4030,0,1,96
4031,4031,0,1,86
4032,4032,0,1,74
4033,4033,0,1,63
4034,4034,0,1,52
4035,4035,0,1,39
4036,4036,0,1,26
4037,4037,0,1,12
4038,4038,0,1,-5
4039,4039,0,1,-14
4040,4040,0,1,-28
4041,4041,0,1,-41
4042,4042,0,1,-53
4043,4043,0,1,-63
4044,4044,0,1,-78
4045,4045,0,1,-92
4046,4046,0,1,-99
4047,4047,0,1,-110
4048,4048,0,1,-110
4049,4049,0,1,-120
4050,4050,0,1,-125
4051,4051,0,1,-130
4052,4052,0,1,-132
4053,4053,0,1,-135
4054,4054,0,1,-137
4055,4055,0,1,-133
4056,4056,0,1,-135
4057,4057,0,1,-138
4058,4058,0,1,-140
4059,4059,0,1,-145
4060,4060,0,1,-144
4061,4061,0,1,-142
4062,4062,0,1,-141
4063,4063,0,1,-134
4064,4064,0,1,-131
4065,4065,0,1,-121
4066,4066,0,1,-106
4067,4067,0,1,-98
4068,4068,0,1,-89
4069,4069,0,1,-87
4070,4070,0,1,-73
4071,4071,0,1,-72
4072,4072,0,1,-56
4073,4073,0,1,-54
4074,4074,0,1,-47
4075,4075,0,1,-36
4076,4076,0,1,-27
4077,4077,0,1,-18
4078,4078,0,1,-13
4079,4079,0,1,-5
4080,4080,0,1,6
4081,4081,0,1,13
4082,4082,0,1,16
4083,4083,0,1,26
4084,4084,0,1,31
4085,4085,0,1,37
4086,4086,0,1,38
4087,4087,0,1,44
4088,4088,0,1,47
4089,4089,0,1,51
4090,4090,0,1,53
4091,4091,0,1,60
4092,4092,0,1,60
4093,4093,0,1,59
4094,4094,0,1,57
4095,4095,0,1,66
4096,4096,0,1,66
4097,4097,0,1,69
4098,4098,0,1,78
4099,4099,0,1,79
4100,4100,0,1,88
4101,4101,0,1,95
4102,4102,0,1,102
4103,4103,0,1,105
4104,4104,0,1,112
4105,4105,0,1,116
4106,4106,0,1,121
4107,4107,0,1,127
4108,4108,0,1,127
4109,4109,0,1,129
4110,4110,0,1,130
4111,4111,0,1,130
4112,4112,0,1,128
4113,4113,0,1,134
4114,4114,0,1,129
4115,4115,0,1,122
4116,4116,0,1,120
4117,4117,0,1,114
4118,4118,0,1,103
4119,4119,0,1,94
4120,4120,0,1,88
4121,4121,0,1,77
4122,4122,0,1,65
4123,4123,0,1,50
4124,4124,0,1,41
4125,4125,0,1,29
4126,4126,0,1,15
4127,4127,0,1,-1
4128,4128,0,1,-9
4129,4129,0,1,-24
4130,4130,0,1,-35
4131,4131,0,1,-54
4132,4132,0,1,-63
4133,4133,0,1,-73
4134,4134,0,1,-86
4135,4135,0,1,-95
4136,4136,0,1,-102
4137,4137,0,1,-111
4138,4138,0,1,-113
4139,4139,0,1,-117
4140,4140,0,1,-117
4141,4141,0,1,-121
4142,4142,0,1,-124
4143,4143,0,1,-125
4144,4144,0,1,-130
4145,4145,0,1,-134
4146,4146,0,1,-140
4147,4147,0,1,-138
4148,4148,0,1,-138
4149,4149,0,1,-137
4150,4150,0,1,-133
4151,4151,0,1,-132
4152,4152,0,1,-130
4153,4153,0,1,-118
4154,4154,0,1,-110
4155,4155,0,1,-104
4156,4156,0,1,-95
4157,4157,0,1,-83
4158,4158,0,1,-81
4159,4159,0,1,-71
4160,4160,0,1,-60
4161,4161,0,1,-54
4162,4162,0,1,-53
4163,4163,0,1,-40
4164,4164,0,1,-35
4165,4165,0,1,-20
4166,4166,0,1,-16
4167,4167,0,1,-2
4168,4168,0,1,-1
4169,4169,0,1,10
4170,4170,0,1,17
4171,4171,0,1,23
4172,4172,0,1,26
4173,4173,0,1,37
4174,4174,0,1,35
4175,4175,0,1,43
4176,4176,0,1,48
4177,4177,0,1,56
4178,4178,0,1,56
4179,4179,0,1,57
4180,4180,0,1,61
4181,4181,0,1,58
4182,4182,0,1,57
4183,4183,0,1,62
4184,4184,0,1,63
4185,4185,0,1,66
4186,4186,0,1,73
4187,4187,0,1,79
4188,4188,0,1,81
4189,4189,0,1,92
4190,4190,0,1,98
4191,4191,0,1,100
4192,4192,0,1,106
4193,4193,0,1,111
4194,4194,0,1,119
4195,4195,0,1,120
4196,4196,0,1,122
4197,4197,0,1,124
4198,4198,0,1,124
4199,4199,0,1,125
4200,4200,0,1,128
4201,4201,0,1,126
4202,4202,0,1,125
4203,4203,0,1,126
4204,4204,0,1,119
4205,4205,0,1,119
4206,4206,0,1,106
4207,4207,0,1,100
4208,4208,0,1,95
4209,4209,0,1,86
4210,4210,0,1,74
4211,4211,0,1,60
4212,4212,0,1,44
4213,4213,0,1,34
4214,4214,0,1,21
4215,4215,0,1,9
4216,4216,0,1,-5
4217,4217,0,1,-17
4218,4218,0,1,-35
4219,4219,0,1,-42
4220,4220,0,1,-61
4221,4221,0,1,-72
4222,4222,0,1,-81
4223,4223,0,1,-91
4224,4224,0,1,-101
4225,4225,0,1,-107
4226,4226,0,1,-115
4227,4227,0,1,-118
4228,4228,0,1,-124
4229,4229,0,1,-126
4230,4230,0,1,-127
4231,4231,0,1,-133
4232,4232,0,1,-129
4233,4233,0,1,-132
4234,4234,0,1,-134
4235,4235,0,1,-138
4236,4236,0,1,-141
4237,4237,0,1,-142
4238,4238,0,1,-138
4239,4239,0,1,-140
4240,4240,0,1,-135
4241,4241,0,1,-130
4242,4242,0,1,-125
4243,4243,0,1,-118
4244,4244,0,1,-107
4245,4245,0,1,-94
4246,4246,0,1,-89
4247,4247,0,1,-85
4248,4248,0,1,-73
4249,4249,0,1,-65
4250,4250,0,1,-57
4251,4251,0,1,-46
4252,4252,0,1,-44
4253,4253,0,1,-30
4254,4254,0,1,-24
4255,4255,0,1,-13
4256,4256,0,1,-4
4257,4257,0,1,0
4258,4258,0,1,13
4259,4259,0,1,18
4260,4260,0,1,24
4261,4261,0,1,30
4262,4262,0,1,36
4263,4263,0,1,44
4264,4264,0,1,49
4265,4265,0,1,52
4266,4266,0,1,56
4267,4267,0,1,57
4268,4268,0,1,58
4269,4269,0,1,65
4270,4270,0,1,63
4271,4271,0,1,64
4272,4272,0,1,63
4273,4273,0,1,70
4274,4274,0,1,74
4275,4275,0,1,75
4276,4276,0,1,79
4277,4277,0,1,88
4278,4278,0,1,94
4279,4279,0,1,104
4280,4280,0,1,105
4281,4281,0,1,113
4282,4282,0,1,118
4283,4283,0,1,126
4284,4284,0,1,126
4285,4285,0,1,131
4286,4286,0,1,131
4287,4287,0,1,132
4288,4288,0,1,135
4289,4289,0,1,133
4290,4290,0,1,133
4291,4291,0,1,134
4292,4292,0,1,129
4293,4293,0,1,125
4294,4294,0,1,119
4295,4295,0,1,108
4296,4296,0,1,99
4297,4297,0,1,94
4298,4298,0,1,85
4299,4299,0,1,72
4300,4300,0,1,64
4301,4301,0,1,51
4302,4302,0,1,32
4303,4303,0,1,22
4304,4304,0,1,10
4305,4305,0,1,-1
4306,4306,0,1,-19
4307,4307,0,1,-32
4308,4308,0,1,-48
4309,4309,0,1,-54
4310,4310,0,1,-71
4311,4311,0,1,-79
4312,4312,0,1,-95
4313,4313,0,1,-103
4314,4314,0,1,-108
4315,4315,0,1,-113
4316,4316,0,1,-115
4317,4317,0,1,-122
4318,4318,0,1,-129
4319,4319,0,1,-130
4320,4320,0,1,-134
4321,4321,0,1,-136
4322,4322,0,1,-136
4323,4323,0,1,-135
4324,4324,0,1,-138
4325,4325,0,1,-143
4326,4326,0,1,-146
4327,4327,0,1,-147
4328,4328,0,1,-143
4329,4329,0,1,-136
4330,4330,0,1,-131
4331,4331,0,1,-127
4332,4332,0,1,-119
4333,4333,0,1,-104
4334,4334,0,1,-100
4335,4335,0,1,-92
4336,4336,0,1,-83
4337,4337,0,1,-76
4338,4338,0,1,-66
4339,4339,0,1,-61
4340,4340,0,1,-51
4341,4341,0,1,-46
4342,4342,0,1,-37
4343,4343,0,1,-28
4344,4344,0,1,-21
4345,4345,0,1,-6
4346,4346,0,1,-1
4347,4347,0,1,7
4348,4348,0,1,17
4349,4349,0,1,19
4350,4350,0,1,29
4351,4351,0,1,34
4352,4352,0,1,33
4353,4353,0,1,38
4354,4354,0,1,46
4355,4355,0,1,47
4356,4356,0,1,56
4357,4357,0,1,54
4358,4358,0,1,57
4359,4359,0,1,56
4360,4360,0,1,58
4361,4361,0,1,59
4362,4362,0,1,62
4363,4363,0,1,66
4364,4364,0,1,73
4365,4365,0,1,78
4366,4366,0,1,79
4367,4367,0,1,87
4368,4368,0,1,94
4369,4369,0,1,103
4370,4370,0,1,108
4371,4371,0,1,116
4372,4372,0,1,120
4373,4373,0,1,121
4374,4374,0,1,123
4375,4375,0,1,125
4376,4376,0,1,129
4377,4377,0,1,128
4378,4378,0,1,130
4379,4379,0,1,131
4380,4380,0,1,130
4381,4381,0,1,131
4382,4382,0,1,124
4383,4383,0,1,115
4384,4384,0,1,107
4385,4385,0,1,100
4386,4386,0,1,90
4387,4387,0,1,79
4388,4388,0,1,68
4389,4389,0,1,59
4390,4390,0,1,39
4391,4391,0,1,27
4392,4392,0,1,18
4393,4393,0,1,7
4394,4394,0,1,-7
4395,4395,0,1,-26
4396,4396,0,1,-37
4397,4397,0,1,-56
4398,4398,0,1,-65
4399,4399,0,1,-79
4400,4400,0,1,-90
4401,4401,0,1,-98
4402,4402,0,1,-106
4403,4403,0,1,-111
4404,4404,0,1,-120
4405,4405,0,1,-124
4406,4406,0,1,-127
4407,4407,0,1,-126
4408,4408,0,1,-124
4409,4409,0,1,-130
4410,4410,0,1,-135
4411,4411,0,1,-138
4412,4412,0,1,-138
4413,4413,0,1,-142
4414,4414,0,1,-137
4415,4415,0,1,-137
4416,4416,0,1,-138
4417,4417,0,1,-134
4418,4418,0,1,-129
4419,4419,0,1,-119
4420,4420,0,1,-115
4421,4421,0,1,-107
4422,4422,0,1,-101
4423,4423,0,1,-86
4424,4424,0,1,-83
4425,4425,0,1,-76
4426,4426,0,1,-65
4427,4427,0,1,-60
4428,4428,0,1,-52
4429,4429,0,1,-44
4430,4430,0,1,-29
4431,4431,0,1,-24
4432,4432,0,1,-15
4433,4433,0,1,-7
4434,4434,0,1,-2
4435,4435,0,1,7
4436,4436,0,1,21
4437,4437,0,1,27
4438,4438,0,1,29
4439,4439,0,1,38
4440,4440,0,1,40
4441,4441,0,1,41
4442,4442,0,1,49
4443,4443,0,1,54
4444,4444,0,1,59
4445,4445,0,1,64
4446,4446,0,1,62
4447,4447,0,1,59
4448,4448,0,1,64
4449,4449,0,1,62
4450,4450,0,1,65
4451,4451,0,1,73
4452,4452,0,1,74
4453,4453,0,1,77
4454,4454,0,1,85
4455,4455,0,1,91
4456,4456,0,1,99
4457,4457,0,1,109
4458,4458,0,1,114
4459,4459,0,1,116
4460,4460,0,1,123
4461,4461,0,1,127
4462,4462,0,1,124
4463,4463,0,1,133
4464,4464,0,1,134
4465,4465,0,1,130
4466,4466,0,1,130
4467,4467,0,1,133
4468,4468,0,1,136
4469,4469,0,1,132
4470,4470,0,1,131
4471,4471,0,1,124
4472,4472,0,1,112
4473,4473,0,1,108
4474,4474,0,1,98
4475,4475,0,1,88
4476,4476,0,1,74
4477,4477,0,1,66
4478,4478,0,1,53
4479,4479,0,1,40
4480,4480,0,1,25
4481,4481,0,1,14
4482,4482,0,1,2
4483,4483,0,1,-14
4484,4484,0,1,-30
4485,4485,0,1,-41
4486,4486,0,1,-57
4487,4487,0,1,-66
4488,4488,0,1,-78
4489,4489,0,1,-89
4490,4490,0,1,-100
4491,4491,0,1,-109
4492,4492,0,1,-115
4493,4493,0,1,-120
4494,4494,0,1,-125
4495,4495,0,1,-125
4496,4496,0,1,-129
4497,4497,0,1,-131
4498,4498,0,1,-134
4499,4499,0,1,-135
4500,4500,0,1,-141
4501,4501,0,1,-147
4502,4502,0,1,-149
4503,4503,0,1,-144
4504,4504,0,1,-147
4505,4505,0,1,-149
4506,4506,0,1,-142
4507,4507,0,1,-136
4508,4508,0,1,-127
4509,4509,0,1,-123
4510,4510,0,1,-110
4511,4511,0,1,-102
4512,4512,0,1,-97
4513,4513,0,1,-92
4514,4514,0,1,-78
4515,4515,0,1,-69
4516,4516,0,1,-70
4517,4517,0,1,-58
4518,4518,0,1,-50
4519,4519,0,1,-41
4520,4520,0,1,-29
4521,4521,0,1,-23
4522,4522,0,1,-18
4523,4523,0,1,-3
4524,4524,0,1,0
4525,4525,0,1,6
4526,4526,0,1,17
4527,4527,0,1,24
4528,4528,0,1,28
4529,4529,0,1,30
4530,4530,0,1,39
4531,4531,0,1,48
4532,4532,0,1,49
4533,4533,0,1,56
4534,4534,0,1,56
4535,4535,0,1,56
4536,4536,0,1,57
4537,4537,0,1,58
4538,4538,0,1,60
4539,4539,0,1,66
4540,4540,0,1,69
4541,4541,0,1,73
4542,4542,0,1,76
4543,4543,0,1,81
4544,4544,0,1,85
4545,4545,0,1,92
4546,4546,0,1,102
4547,4547,0,1,110
4548,4548,0,1,114
4549,4549,0,1,113
4550,4550,0,1,123
4551,4551,0,1,123
4552,4552,0,1,122
4553,4553,0,1,128
4554,4554,0,1,133
4555,4555,0,1,128
4556,4556,0,1,128
4557,4557,0,1,131
4558,4558,0,1,132
4559,4559,0,1,124
4560,4560,0,1,120
4561,4561,0,1,119
4562,4562,0,1,106
4563,4563,0,1,97
4564,4564,0,1,89
4565,4565,0,1,80
4566,4566,0,1,68
4567,4567,0,1,51
4568,4568,0,1,42
4569,4569,0,1,33
4570,4570,0,1,14
4571,4571,0,1,5
4572,4572,0,1,-9
4573,4573,0,1,-26
4574,4574,0,1,-39
4575,4575,0,1,-49
4576,4576,0,1,-61
4577,4577,0,1,-75
4578,4578,0,1,-83
4579,4579,0,1,-95
4580,4580,0,1,-96
4581,4581,0,1,-105
4582,4582,0,1,-113
4583,4583,0,1,-115
4584,4584,0,1,-118
4585,4585,0,1,-123
4586,4586,0,1,-126
4587,4587,0,1,-129
4588,4588,0,1,-132
4589,4589,0,1,-135
4590,4590,0,1,-137
4591,4591,0,1,-133
4592,4592,0,1,-137
4593,4593,0,1,-136
4594,4594,0,1,-134
4595,4595,0,1,-132
4596,4596,0,1,-127
4597,4597,0,1,-119
4598,4598,0,1,-111
4599,4599,0,1,-100
4600,4600,0,1,-95
4601,4601,0,1,-83
4602,4602,0,1,-74
4603,4603,0,1,-69
4604,4604,0,1,-63
4605,4605,0,1,-55
4606,4606,0,1,-50
4607,4607,0,1,-40
4608,4608,0,1,-30
4609,4609,0,1,-25
4610,4610,0,1,-10
4611,4611,0,1,-2
4612,4612,0,1,-1
4613,4613,0,1,14
4614,4614,0,1,16
4615,4615,0,1,27
4616,4616,0,1,30
4617,4617,0,1,31
4618,4618,0,1,39
4619,4619,0,1,41
4620,4620,0,1,52
4621,4621,0,1,51
4622,4622,0,1,62
4623,4623,0,1,61
4624,4624,0,1,58
4625,4625,0,1,59
4626,4626,0,1,59
4627,4627,0,1,59
4628,4628,0,1,65
4629,4629,0,1,72
4630,4630,0,1,70
4631,4631,0,1,80
4632,4632,0,1,82
4633,4633,0,1,91
4634,4634,0,1,101
4635,4635,0,1,107
4636,4636,0,1,108
4637,4637,0,1,112
4638,4638,0,1,115
4639,4639,0,1,122
4640,4640,0,1,124
4641,4641,0,1,129
4642,4642,0,1,128
4643,4643,0,1,129
4644,4644,0,1,127
4645,4645,0,1,128
4646,4646,0,1,126
4647,4647,0,1,124
4648,4648,0,1,124
4649,4649,0,1,120
4650,4650,0,1,111
4651,4651,0,1,101
4652,4652,0,1,92
4653,4653,0,1,79
4654,4654,0,1,69
4655,4655,0,1,60
4656,4656,0,1,43
4657,4657,0,1,34
4658,4658,0,1,24
4659,4659,0,1,10
4660,4660,0,1,-9
4661,4661,0,1,-19
4662,4662,0,1,-36
4663,4663,0,1,-44
4664,4664,0,1,-56
4665,4665,0,1,-67
4666,4666,0,1,-86
4667,4667,0,1,-96
4668,4668,0,1,-103
4669,4669,0,1,-110
4670,4670,0,1,-118
4671,4671,0,1,-121
4672,4672,0,1,-122
4673,4673,0,1,-128
4674,4674,0,1,-131
4675,4675,0,1,-130
4676,4676,0,1,-136
4677,4677,0,1,-143
4678,4678,0,1,-143
4679,4679,0,1,-142
4680,4680,0,1,-150
4681,4681,0,1,-144
4682,4682,0,1,-146
4683,4683,0,1,-143
4684,4684,0,1,-140
4685,4685,0,1,-132
4686,4686,0,1,-130
4687,4687,0,1,-121
4688,4688,0,1,-110
4689,4689,0,1,-105
4690,4690,0,1,-93
4691,4691,0,1,-84
4692,4692,0,1,-77
4693,4693,0,1,-70
4694,4694,0,1,-63
4695,4695,0,1,-54
4696,4696,0,1,-42
4697,4697,0,1,-33
4698,4698,0,1,-30
4699,4699,0,1,-19
4700,4700,0,1,-14
4701,4701,0,1,1
4702,4702,0,1,9
4703,4703,0,1,13
4704,4704,0,1,22
4705,4705,0,1,21
4706,4706,0,1,28
4707,4707,0,1,38
4708,4708,0,1,40
4709,4709,0,1,47
4710,4710,0,1,51
4711,4711,0,1,50
4712,4712,0,1,55
4713,4713,0,1,57
4714,4714,0,1,57
4715,4715,0,1,57
4716,4716,0,1,60
4717,4717,0,1,66
4718,4718,0,1,65
4719,4719,0,1,70
4720,4720,0,1,76
4721,4721,0,1,78
4722,4722,0,1,89
4723,4723,0,1,98
4724,4724,0,1,106
4725,4725,0,1,110
4726,4726,0,1,116
4727,4727,0,1,121
4728,4728,0,1,120
4729,4729,0,1,125
4730,4730,0,1,131
4731,4731,0,1,130
4732,4732,0,1,133
4733,4733,0,1,135
4734,4734,0,1,134
4735,4735,0,1,132
4736,4736,0,1,133
4737,4737,0,1,130
4738,4738,0,1,120
4739,4739,0,1,114
4740,4740,0,1,104
4741,4741,0,1,92
4742,4742,0,1,84
4743,4743,0,1,76
4744,4744,0,1,59
4745,4745,0,1,48
4746,4746,0,1,35
4747,4747,0,1,25
4748,4748,0,1,13
4749,4749,0,1,-4
4750,4750,0,1,-13
4751,4751,0,1,-31
4752,4752,0,1,-42
4753,4753,0,1,-54
4754,4754,0,1,-67
4755,4755,0,1,-79
4756,4756,0,1,-89
4757,4757,0,1,-95
4758,4758,0,1,-102
4759,4759,0,1,-109
4760,4760,0,1,-116
4761,4761,0,1,-117
